date,city,temperature,aqi
2024-01-22,Bengaluru,36.0,172
2024-01-22,Chennai,25.7,306
2024-01-22,Kolkata,36.2,296
2024-01-22,Hyderabad,28.3,272
2024-01-22,Ahmedabad,32.4,140
2024-01-22,Jaipur,35.9,198
2024-01-22,Lucknow,27.5,246
2024-01-22,Bhopal,23.2,157
2024-01-23,Mumbai,41.5,322
2024-01-23,Delhi,33.6,74
2024-01-23,Bengaluru,33.9,132
2024-01-23,Chennai,37.1,114
2024-01-23,Kolkata,38.2,75
2024-01-23,Hyderabad,19.8,174
2024-01-23,Ahmedabad,35.0,198
2024-01-23,Jaipur,22.7,61
2024-01-23,Lucknow,25.8,100
2024-01-23,Bhopal,33.3,145
2024-01-24,Mumbai,35.7,147
2024-01-24,Delhi,28.3,167
2024-01-24,Bengaluru,37.1,55
2024-01-24,Chennai,27.4,169
2024-01-24,Kolkata,37.2,43
2024-01-24,Hyderabad,30.7,84
2024-01-24,Ahmedabad,20.6,266
2024-01-24,Jaipur,31.3,287
2024-01-24,Lucknow,34.7,253
2024-01-24,Bhopal,29.2,237
2024-01-25,Mumbai,29.0,180
2024-01-25,Delhi,35.6,160
2024-01-25,Bengaluru,25.6,315
2024-01-25,Chennai,30.4,87
2024-01-25,Kolkata,30.9,146
2024-01-25,Hyderabad,23.1,164
2024-01-25,Ahmedabad,38.0,208
2024-01-25,Jaipur,22.2,286
2024-01-25,Lucknow,23.6,156
2024-01-25,Bhopal,27.2,166
2024-01-26,Mumbai,35.2,316
2024-01-26,Delhi,19.3,264
2024-01-26,Bengaluru,35.7,349
2024-01-26,Chennai,31.9,278
2024-01-26,Kolkata,31.8,60
2024-01-26,Hyderabad,28.9,195
2024-01-26,Ahmedabad,34.9,328
2024-01-26,Jaipur,26.1,240
2024-01-26,Lucknow,20.5,261
2024-01-26,Bhopal,34.9,81
2024-01-27,Mumbai,34.8,59
2024-01-27,Delhi,39.3,137
2024-01-27,Bengaluru,33.8,160
2024-01-27,Chennai,31.6,257
2024-01-27,Kolkata,27.9,181
2024-01-27,Hyderabad,24.8,243
2024-01-27,Ahmedabad,27.5,137
2024-01-27,Jaipur,33.4,199
2024-01-27,Lucknow,23.7,165
2024-01-27,Bhopal,30.1,279
2024-01-28,Mumbai,28.0,130
2024-01-28,Delhi,35.4,47
2024-01-28,Bengaluru,36.6,190
2024-01-28,Chennai,35.1,63
2024-01-28,Kolkata,28.7,237
2024-01-28,Hyderabad,26.9,59
2024-01-28,Ahmedabad,25.4,250
2024-01-28,Jaipur,22.7,104
2024-01-28,Lucknow,19.3,348
2024-01-28,Bhopal,31.8,98
2024-01-29,Mumbai,33.8,262
2024-01-29,Delhi,24.2,150
2024-01-29,Bengaluru,39.9,49
2024-01-29,Chennai,28.8,155
2024-01-29,Kolkata,26.6,151
2024-01-29,Hyderabad,34.4,94
2024-01-29,Ahmedabad,38.4,149
2024-01-29,Jaipur,35.6,97
2024-01-29,Lucknow,24.9,299
2024-01-29,Bhopal,25.7,51
2024-01-30,Mumbai,21.2,134
2024-01-30,Delhi,27.1,133
2024-01-30,Bengaluru,25.4,161
2024-01-30,Chennai,31.0,53
2024-01-30,Kolkata,24.8,329
2024-01-30,Hyderabad,35.6,290
2024-01-30,Ahmedabad,24.7,193
2024-01-30,Jaipur,29.3,340
2024-01-30,Lucknow,30.1,307
2024-01-30,Bhopal,22.1,310
2024-01-31,Mumbai,32.0,56
2024-01-31,Delhi,32.0,282
2024-01-31,Bengaluru,26.1,236
2024-01-31,Chennai,24.4,200
2024-01-31,Kolkata,21.2,121
2024-01-31,Hyderabad,24.2,334
2024-01-31,Ahmedabad,28.0,249
2024-01-31,Jaipur,33.6,332
2024-01-31,Lucknow,32.8,118
2024-01-31,Bhopal,26.7,174
2024-02-01,Mumbai,20.6,230
2024-02-01,Delhi,34.0,106
2024-02-01,Bengaluru,26.7,299
2024-02-01,Chennai,34.5,61
2024-02-01,Kolkata,25.3,180
2024-02-01,Hyderabad,33.9,130
2024-02-01,Ahmedabad,31.3,166
2024-02-01,Jaipur,34.3,252
2024-02-01,Lucknow,23.3,284
2024-02-01,Bhopal,24.1,161
2024-02-02,Mumbai,31.1,229
2024-02-02,Delhi,22.3,267
2024-02-02,Bengaluru,32.0,108
2024-02-02,Chennai,29.8,212
2024-02-02,Kolkata,28.7,235
2024-02-02,Hyderabad,32.6,317
2024-02-02,Ahmedabad,24.0,253
2024-02-02,Jaipur,27.5,285
2024-02-02,Lucknow,30.6,103
2024-02-02,Bhopal,19.5,289
2024-02-03,Mumbai,26.2,183
2024-02-03,Delhi,33.7,279
2024-02-03,Bengaluru,33.1,248
2024-02-03,Chennai,31.2,242
2024-02-03,Kolkata,37.4,114
2024-02-03,Hyderabad,24.7,244
2024-02-03,Ahmedabad,37.1,255
2024-02-03,Jaipur,23.9,256
2024-02-03,Lucknow,27.7,246
2024-02-03,Bhopal,24.5,218
2024-02-04,Mumbai,23.4,52
2024-02-04,Delhi,30.1,44
2024-02-04,Bengaluru,34.7,221
2024-02-04,Chennai,29.2,328
2024-02-04,Kolkata,26.7,56
2024-02-04,Hyderabad,28.2,241
2024-02-04,Ahmedabad,27.2,92
2024-02-04,Jaipur,19.0,164
2024-02-04,Lucknow,22.7,171
2024-02-04,Bhopal,21.2,268
2024-02-05,Mumbai,24.2,59
2024-02-05,Delhi,28.9,105
2024-02-05,Bengaluru,24.7,176
2024-02-05,Chennai,24.1,59
2024-02-05,Kolkata,22.7,214
2024-02-05,Hyderabad,37.9,182
2024-02-05,Ahmedabad,24.5,307
2024-02-05,Jaipur,26.1,192
2024-02-05,Lucknow,28.0,100
2024-02-05,Bhopal,40.7,245
2024-02-06,Mumbai,22.5,340
2024-02-06,Delhi,33.2,94
2024-02-06,Bengaluru,34.9,234
2024-02-06,Chennai,36.7,104
2024-02-06,Kolkata,22.7,349
2024-02-06,Hyderabad,35.9,322
2024-02-06,Ahmedabad,30.2,179
2024-02-06,Jaipur,27.0,161
2024-02-06,Lucknow,36.9,45
2024-02-06,Bhopal,36.4,122
2024-02-07,Mumbai,31.3,338
2024-02-07,Delhi,19.1,120
2024-02-07,Bengaluru,25.2,224
2024-02-07,Chennai,20.7,219
2024-02-07,Kolkata,36.5,314
2024-02-07,Hyderabad,35.9,297
2024-02-07,Ahmedabad,21.2,76
2024-02-07,Jaipur,28.9,318
2024-02-07,Lucknow,28.9,343
2024-02-07,Bhopal,26.5,216
2024-02-08,Mumbai,23.7,56
2024-02-08,Delhi,34.1,187
2024-02-08,Bengaluru,27.7,108
2024-02-08,Chennai,26.1,251
2024-02-08,Kolkata,33.0,61
2024-02-08,Hyderabad,30.3,298
2024-02-08,Ahmedabad,35.7,61
2024-02-08,Jaipur,29.5,111
2024-02-08,Lucknow,28.9,164
2024-02-08,Bhopal,34.9,301
2024-02-09,Mumbai,29.2,140
2024-02-09,Delhi,21.9,289
2024-02-09,Bengaluru,39.4,77
2024-02-09,Chennai,40.4,169
2024-02-09,Kolkata,33.2,112
2024-02-09,Hyderabad,18.8,52
2024-02-09,Ahmedabad,32.0,163
2024-02-09,Jaipur,39.3,172
2024-02-09,Lucknow,35.1,309
2024-02-09,Bhopal,23.1,90
2024-02-10,Mumbai,29.9,57
2024-02-10,Delhi,21.2,111
2024-02-10,Bengaluru,29.5,151
2024-02-10,Chennai,34.6,219
2024-02-10,Kolkata,38.4,102
2024-02-10,Hyderabad,37.7,347
2024-02-10,Ahmedabad,27.3,302
2024-02-10,Jaipur,25.6,110
2024-02-10,Lucknow,35.2,53
2024-02-10,Bhopal,35.5,48
2024-02-11,Mumbai,33.0,218
2024-02-11,Delhi,31.3,261
2024-02-11,Bengaluru,25.7,40
2024-02-11,Chennai,26.8,212
2024-02-11,Kolkata,28.7,281
2024-02-11,Hyderabad,24.9,215
2024-02-11,Ahmedabad,32.4,69
2024-02-11,Jaipur,21.1,134
2024-02-11,Lucknow,27.2,257
2024-02-11,Bhopal,33.2,231
2024-02-12,Mumbai,38.5,57
2024-02-12,Delhi,21.7,118
2024-02-12,Bengaluru,25.6,98
2024-02-12,Chennai,33.8,142
2024-02-12,Kolkata,34.0,340
2024-02-12,Hyderabad,29.7,164
2024-02-12,Ahmedabad,20.4,331
2024-02-12,Jaipur,30.7,161
2024-02-12,Lucknow,22.1,288
2024-02-12,Bhopal,32.9,224
2024-02-13,Mumbai,19.4,282
2024-02-13,Delhi,23.3,200
2024-02-13,Bengaluru,29.4,292
2024-02-13,Chennai,27.4,107
2024-02-13,Kolkata,31.1,235
2024-02-13,Hyderabad,35.2,97
2024-02-13,Ahmedabad,20.7,97
2024-02-13,Jaipur,24.6,196
2024-02-13,Lucknow,23.4,53
2024-02-13,Bhopal,23.5,79
2024-02-14,Mumbai,22.4,211
2024-02-14,Delhi,24.0,94
2024-02-14,Bengaluru,19.7,287
2024-02-14,Chennai,33.3,114
2024-02-14,Kolkata,35.8,266
2024-02-14,Hyderabad,28.0,210
2024-02-14,Ahmedabad,28.0,312
2024-02-14,Jaipur,35.7,218
2024-02-14,Lucknow,23.4,214
2024-02-14,Bhopal,24.2,169
2024-02-15,Mumbai,31.9,331
2024-02-15,Delhi,23.6,46
2024-02-15,Bengaluru,36.8,96
2024-02-15,Chennai,26.9,67
2024-02-15,Kolkata,23.3,287
2024-02-15,Hyderabad,41.1,349
2024-02-15,Ahmedabad,35.5,306
2024-02-15,Jaipur,29.1,240
2024-02-15,Lucknow,39.7,266
2024-02-15,Bhopal,33.0,123
2024-02-16,Mumbai,22.6,156
2024-02-16,Delhi,29.0,306
2024-02-16,Bengaluru,35.8,198
2024-02-16,Chennai,23.3,291
2024-02-16,Kolkata,39.9,92
2024-02-16,Hyderabad,20.0,263
2024-02-16,Ahmedabad,29.7,256
2024-02-16,Jaipur,25.4,235
2024-02-16,Lucknow,26.7,342
2024-02-16,Bhopal,28.1,344
2024-02-17,Mumbai,27.1,241
2024-02-17,Delhi,28.6,325
2024-02-17,Bengaluru,29.1,92
2024-02-17,Chennai,24.6,232
2024-02-17,Kolkata,36.3,288
2024-02-17,Hyderabad,27.1,346
2024-02-17,Ahmedabad,27.2,147
2024-02-17,Jaipur,20.6,112
2024-02-17,Lucknow,22.9,142
2024-02-17,Bhopal,19.9,236
2024-02-18,Mumbai,24.6,306
2024-02-18,Delhi,21.6,101
2024-02-18,Bengaluru,26.7,196
2024-02-18,Chennai,34.7,124
2024-02-18,Kolkata,36.8,73
2024-02-18,Hyderabad,40.2,315
2024-02-18,Ahmedabad,31.0,292
2024-02-18,Jaipur,29.5,295
2024-02-18,Lucknow,24.2,253
2024-02-18,Bhopal,28.5,322
2024-02-19,Mumbai,20.2,209
2024-02-19,Delhi,37.4,145
2024-02-19,Bengaluru,37.9,324
2024-02-19,Chennai,29.3,291
2024-02-19,Kolkata,27.2,301
2024-02-19,Hyderabad,30.1,272
2024-02-19,Ahmedabad,32.4,172
2024-02-19,Jaipur,27.5,52
2024-02-19,Lucknow,40.8,278
2024-02-19,Bhopal,39.1,225
2024-02-20,Mumbai,28.0,173
2024-02-20,Delhi,22.3,305
2024-02-20,Bengaluru,33.7,77
2024-02-20,Chennai,25.9,326
2024-02-20,Kolkata,34.8,200
2024-02-20,Hyderabad,22.4,147
2024-02-20,Ahmedabad,36.5,43
2024-02-20,Jaipur,29.9,173
2024-02-20,Lucknow,23.5,76
2024-02-20,Bhopal,23.0,52
2024-02-21,Mumbai,28.6,339
2024-02-21,Delhi,37.6,127
2024-02-21,Bengaluru,24.2,304
2024-02-21,Chennai,31.1,329
2024-02-21,Kolkata,33.4,80
2024-02-21,Hyderabad,27.7,109
2024-02-21,Ahmedabad,34.6,278
2024-02-21,Jaipur,28.2,323
2024-02-21,Lucknow,26.1,125
2024-02-21,Bhopal,25.6,127
2024-02-22,Mumbai,23.7,96
2024-02-22,Delhi,40.4,58
2024-02-22,Bengaluru,26.1,225
2024-02-22,Chennai,33.7,154
2024-02-22,Kolkata,40.0,187
2024-02-22,Hyderabad,25.4,312
2024-02-22,Ahmedabad,22.4,134
2024-02-22,Jaipur,25.7,146
2024-02-22,Lucknow,39.8,263
2024-02-22,Bhopal,27.2,48
2024-02-23,Mumbai,38.1,317
2024-02-23,Delhi,26.1,219
2024-02-23,Bengaluru,26.8,198
2024-02-23,Chennai,26.1,41
2024-02-23,Kolkata,34.0,254
2024-02-23,Hyderabad,32.2,194
2024-02-23,Ahmedabad,33.4,92
2024-02-23,Jaipur,28.5,113
2024-02-23,Lucknow,24.5,307
2024-02-23,Bhopal,22.4,308
2024-02-24,Mumbai,22.5,203
2024-02-24,Delhi,34.9,139
2024-02-24,Bengaluru,24.8,261
2024-02-24,Chennai,34.2,301
2024-02-24,Kolkata,30.6,78
2024-02-24,Hyderabad,27.1,335
2024-02-24,Ahmedabad,37.3,151
2024-02-24,Jaipur,34.7,134
2024-02-24,Lucknow,37.3,323
2024-02-24,Bhopal,21.9,235
2024-02-25,Mumbai,32.6,183
2024-02-25,Delhi,20.5,239
2024-02-25,Bengaluru,36.3,130
2024-02-25,Chennai,32.7,184
2024-02-25,Kolkata,21.4,82
2024-02-25,Hyderabad,25.8,238
2024-02-25,Ahmedabad,24.3,342
2024-02-25,Jaipur,41.7,176
2024-02-25,Lucknow,21.5,238
2024-02-25,Bhopal,26.1,261
2024-02-26,Mumbai,26.3,182
2024-02-26,Delhi,20.7,99
2024-02-26,Bengaluru,20.0,68
2024-02-26,Chennai,34.7,55
2024-02-26,Kolkata,29.9,220
2024-02-26,Hyderabad,34.0,234
2024-02-26,Ahmedabad,25.7,271
2024-02-26,Jaipur,38.1,94
2024-02-26,Lucknow,24.7,240
2024-02-26,Bhopal,26.4,130
2024-02-27,Mumbai,26.6,321
2024-02-27,Delhi,21.0,84
2024-02-27,Bengaluru,22.5,326
2024-02-27,Chennai,37.2,181
2024-02-27,Kolkata,37.5,252
2024-02-27,Hyderabad,23.4,136
2024-02-27,Ahmedabad,33.1,322
2024-02-27,Jaipur,31.6,112
2024-02-27,Lucknow,33.5,105
2024-02-27,Bhopal,24.5,90
2024-02-28,Mumbai,28.0,169
2024-02-28,Delhi,20.9,193
2024-02-28,Bengaluru,37.1,205
2024-02-28,Chennai,40.1,235
2024-02-28,Kolkata,30.1,196
2024-02-28,Hyderabad,21.0,221
2024-02-28,Ahmedabad,29.0,222
2024-02-28,Jaipur,25.5,191
2024-02-28,Lucknow,23.5,179
2024-02-28,Bhopal,33.9,205
2024-02-29,Mumbai,32.4,91
2024-02-29,Delhi,26.0,221
2024-02-29,Bengaluru,19.9,316
2024-02-29,Chennai,22.4,127
2024-02-29,Kolkata,29.6,295
2024-02-29,Hyderabad,24.6,291
2024-02-29,Ahmedabad,25.8,295
2024-02-29,Jaipur,37.3,218
2024-02-29,Lucknow,35.3,295
2024-02-29,Bhopal,20.1,86
2024-03-01,Mumbai,34.6,118
2024-03-01,Delhi,34.5,67
2024-03-01,Bengaluru,26.6,71
2024-03-01,Chennai,33.2,308
2024-03-01,Kolkata,33.7,330
2024-03-01,Hyderabad,28.0,297
2024-03-01,Ahmedabad,28.9,114
2024-03-01,Jaipur,40.0,150
2024-03-01,Lucknow,26.6,46
2024-03-01,Bhopal,27.0,311
2024-03-02,Mumbai,25.9,332
2024-03-02,Delhi,40.1,248
2024-03-02,Bengaluru,23.0,128
2024-03-02,Chennai,26.2,288
2024-03-02,Kolkata,30.0,333
2024-03-02,Hyderabad,31.4,299
2024-03-02,Ahmedabad,24.1,84
2024-03-02,Jaipur,20.4,138
2024-03-02,Lucknow,33.3,85
2024-03-02,Bhopal,33.2,62
2024-03-03,Mumbai,34.6,55
2024-03-03,Delhi,31.8,86
2024-03-03,Bengaluru,34.9,160
2024-03-03,Chennai,29.5,317
2024-03-03,Kolkata,40.4,66
2024-03-03,Hyderabad,30.9,106
2024-03-03,Ahmedabad,20.7,237
2024-03-03,Jaipur,24.9,100
2024-03-03,Lucknow,36.2,180
2024-03-03,Bhopal,23.4,136
2024-03-04,Mumbai,35.9,290
2024-03-04,Delhi,27.1,49
2024-03-04,Bengaluru,32.3,56
2024-03-04,Chennai,19.7,128
2024-03-04,Kolkata,24.2,260
2024-03-04,Hyderabad,20.1,248
2024-03-04,Ahmedabad,21.5,297
2024-03-04,Jaipur,34.1,315
2024-03-04,Lucknow,31.9,215
2024-03-04,Bhopal,22.2,305
2024-03-05,Mumbai,31.8,331
2024-03-05,Delhi,21.7,196
2024-03-05,Bengaluru,39.9,223
2024-03-05,Chennai,32.2,204
2024-03-05,Kolkata,27.8,211
2024-03-05,Hyderabad,34.3,147
2024-03-05,Ahmedabad,24.4,277
2024-03-05,Jaipur,31.5,79
2024-03-05,Lucknow,31.9,261
2024-03-05,Bhopal,33.1,281
2024-03-06,Mumbai,26.1,251
2024-03-06,Delhi,19.6,88
2024-03-06,Bengaluru,26.0,300
2024-03-06,Chennai,29.1,228
2024-03-06,Kolkata,22.2,177
2024-03-06,Hyderabad,26.6,336
2024-03-06,Ahmedabad,25.7,170
2024-03-06,Jaipur,33.7,216
2024-03-06,Lucknow,35.4,285
2024-03-06,Bhopal,30.1,220
2024-03-07,Mumbai,30.2,135
2024-03-07,Delhi,36.1,264
2024-03-07,Bengaluru,22.7,256
2024-03-07,Chennai,30.0,179
2024-03-07,Kolkata,33.7,306
2024-03-07,Hyderabad,20.0,131
2024-03-07,Ahmedabad,31.7,80
2024-03-07,Jaipur,25.4,203
2024-03-07,Lucknow,34.4,62
2024-03-07,Bhopal,37.2,131
2024-03-08,Mumbai,30.2,320
2024-03-08,Delhi,23.3,130
2024-03-08,Bengaluru,37.6,290
2024-03-08,Chennai,30.6,330
2024-03-08,Kolkata,25.4,166
2024-03-08,Hyderabad,25.5,128
2024-03-08,Ahmedabad,27.3,141
2024-03-08,Jaipur,20.4,56
2024-03-08,Lucknow,27.2,210
2024-03-08,Bhopal,37.5,203
2024-03-09,Mumbai,23.1,138
2024-03-09,Delhi,37.7,260
2024-03-09,Bengaluru,29.5,165
2024-03-09,Chennai,40.7,340
2024-03-09,Kolkata,40.0,62
2024-03-09,Hyderabad,22.4,236
2024-03-09,Ahmedabad,19.4,336
2024-03-09,Jaipur,32.1,122
2024-03-09,Lucknow,36.8,198
2024-03-09,Bhopal,27.2,170
2024-03-10,Mumbai,26.1,189
2024-03-10,Delhi,25.9,167
2024-03-10,Bengaluru,40.9,237
2024-03-10,Chennai,28.4,136
2024-03-10,Kolkata,34.4,46
2024-03-10,Hyderabad,35.2,336
2024-03-10,Ahmedabad,31.1,185
2024-03-10,Jaipur,23.5,52
2024-03-10,Lucknow,23.7,49
2024-03-10,Bhopal,40.2,232
2024-03-11,Mumbai,22.3,104
2024-03-11,Delhi,23.5,271
2024-03-11,Bengaluru,29.4,87
2024-03-11,Chennai,34.4,245
2024-03-11,Kolkata,36.2,190
2024-03-11,Hyderabad,37.4,322
2024-03-11,Ahmedabad,38.8,96
2024-03-11,Jaipur,27.6,268
2024-03-11,Lucknow,25.4,66
2024-03-11,Bhopal,19.7,315
2024-03-12,Mumbai,21.7,168
2024-03-12,Delhi,32.3,217
2024-03-12,Bengaluru,40.0,332
2024-03-12,Chennai,25.8,79
2024-03-12,Kolkata,40.8,231
2024-03-12,Hyderabad,37.4,220
2024-03-12,Ahmedabad,35.0,114
2024-03-12,Jaipur,27.7,195
2024-03-12,Lucknow,25.1,227
2024-03-12,Bhopal,31.3,333
2024-03-13,Mumbai,29.2,286
2024-03-13,Delhi,30.8,322
2024-03-13,Bengaluru,40.2,171
2024-03-13,Chennai,20.5,174
2024-03-13,Kolkata,34.4,291
2024-03-13,Hyderabad,35.0,177
2024-03-13,Ahmedabad,26.7,150
