city,date,aqi
Munger,14-02-2025 17:00:00,18.0
Munger,14-02-2025 17:00:00,37.0
Muzaffarpur,14-02-2025 17:00:00,105.0
Muzaffarpur,14-02-2025 17:00:00,4.0
Hajipur,14-02-2025 17:00:00,4.0
Hajipur,14-02-2025 17:00:00,76.0
Katihar,14-02-2025 17:00:00,28.0
Katihar,14-02-2025 17:00:00,1.0
Katihar,14-02-2025 17:00:00,10.0
Katihar,14-02-2025 17:00:00,22.0
Katihar,14-02-2025 17:00:00,54.0
Kishanganj,14-02-2025 17:00:00,54.0
Kishanganj,14-02-2025 17:00:00,80.0
Kishanganj,14-02-2025 17:00:00,20.0
Chandigarh,14-02-2025 17:00:00,11.0
Chandigarh,14-02-2025 17:00:00,16.0
Chandigarh,14-02-2025 17:00:00,50.0
Bhilai,14-02-2025 17:00:00,5.0
Bhilai,14-02-2025 17:00:00,8.0
Bhilai,14-02-2025 17:00:00,2.0
Patna,14-02-2025 17:00:00,13.0
Patna,14-02-2025 17:00:00,28.0
Patna,14-02-2025 17:00:00,18.0
Patna,14-02-2025 17:00:00,9.0
Patna,14-02-2025 17:00:00,47.0
Patna,14-02-2025 17:00:00,67.0
Patna,14-02-2025 17:00:00,87.0
Patna,14-02-2025 17:00:00,26.0
Sasaram,14-02-2025 17:00:00,53.0
Siwan,14-02-2025 17:00:00,64.0
Chandigarh,14-02-2025 17:00:00,37.0
Chandigarh,14-02-2025 17:00:00,30.0
Rajgir,14-02-2025 17:00:00,42.0
Rajgir,14-02-2025 17:00:00,2.0
Saharsa,14-02-2025 17:00:00,49.0
Saharsa,14-02-2025 17:00:00,4.0
Saharsa,14-02-2025 17:00:00,28.0
Samastipur,14-02-2025 17:00:00,2.0
Bilaspur,14-02-2025 17:00:00,16.0
Chhal,14-02-2025 17:00:00,49.0
Korba,14-02-2025 17:00:00,68.0
Korba,14-02-2025 17:00:00,27.0
Kunjemura,14-02-2025 17:00:00,33.0
Milupara,14-02-2025 17:00:00,12.0
Patna,14-02-2025 17:00:00,80.0
Patna,14-02-2025 17:00:00,2.0
Patna,14-02-2025 17:00:00,35.0
Delhi,14-02-2025 17:00:00,114.0
Delhi,14-02-2025 17:00:00,154.0
Delhi,14-02-2025 17:00:00,127.0
Delhi,14-02-2025 17:00:00,24.0
Delhi,14-02-2025 17:00:00,13.0
Delhi,14-02-2025 17:00:00,69.0
Delhi,14-02-2025 17:00:00,124.0
Delhi,14-02-2025 17:00:00,102.0
Delhi,14-02-2025 17:00:00,127.0
Raipur,14-02-2025 17:00:00,2.0
Raipur,14-02-2025 17:00:00,70.0
Raipur,14-02-2025 17:00:00,2.0
Raipur,14-02-2025 17:00:00,26.0
Raipur,14-02-2025 17:00:00,28.0
Raipur,14-02-2025 17:00:00,3.0
Raipur,14-02-2025 17:00:00,18.0
Tumidih,14-02-2025 17:00:00,45.0
Tumidih,14-02-2025 17:00:00,6.0
Delhi,14-02-2025 17:00:00,29.0
Delhi,14-02-2025 17:00:00,83.0
Delhi,14-02-2025 17:00:00,49.0
Delhi,14-02-2025 17:00:00,13.0
Delhi,14-02-2025 17:00:00,6.0
Delhi,14-02-2025 17:00:00,16.0
Delhi,14-02-2025 17:00:00,48.0
Delhi,14-02-2025 17:00:00,72.0
Delhi,14-02-2025 17:00:00,162.0
Delhi,14-02-2025 17:00:00,53.0
Delhi,14-02-2025 17:00:00,97.0
Delhi,14-02-2025 17:00:00,129.0
Delhi,14-02-2025 17:00:00,7.0
Delhi,14-02-2025 17:00:00,56.0
Delhi,14-02-2025 17:00:00,149.0
Delhi,14-02-2025 17:00:00,191.0
Delhi,14-02-2025 17:00:00,69.0
Delhi,14-02-2025 17:00:00,126.0
Delhi,14-02-2025 17:00:00,59.0
Delhi,14-02-2025 17:00:00,73.0
Delhi,14-02-2025 17:00:00,28.0
Delhi,14-02-2025 17:00:00,65.0
Delhi,14-02-2025 17:00:00,131.0
Delhi,14-02-2025 17:00:00,91.0
Delhi,14-02-2025 17:00:00,15.0
Delhi,14-02-2025 17:00:00,80.0
Delhi,14-02-2025 17:00:00,4.0
Delhi,14-02-2025 17:00:00,55.0
Delhi,14-02-2025 17:00:00,29.0
Delhi,14-02-2025 17:00:00,10.0
Delhi,14-02-2025 17:00:00,36.0
Delhi,14-02-2025 17:00:00,75.0
Delhi,14-02-2025 17:00:00,50.0
Delhi,14-02-2025 17:00:00,113.0
Delhi,14-02-2025 17:00:00,67.0
Vapi,14-02-2025 17:00:00,2.0
Vatva,14-02-2025 17:00:00,136.0
Vatva,14-02-2025 17:00:00,183.0
Vatva,14-02-2025 17:00:00,16.0
Charkhi Dadri,14-02-2025 17:00:00,92.0
Charkhi Dadri,14-02-2025 17:00:00,7.0
Charkhi Dadri,14-02-2025 17:00:00,15.0
Faridabad,14-02-2025 17:00:00,96.0
Faridabad,14-02-2025 17:00:00,19.0
Ahmedabad,14-02-2025 17:00:00,124.0
Ahmedabad,14-02-2025 17:00:00,18.0
Ahmedabad,14-02-2025 17:00:00,4.0
Ankleshwar,14-02-2025 17:00:00,4.0
Ankleshwar,14-02-2025 17:00:00,38.0
Gandhinagar,14-02-2025 17:00:00,112.0
Panchgaon,14-02-2025 17:00:00,105.0
Panchgaon,14-02-2025 17:00:00,17.0
Baddi,14-02-2025 17:00:00,15.0
Baddi,14-02-2025 17:00:00,49.0
Dhanbad,14-02-2025 17:00:00,118.0
Delhi,14-02-2025 17:00:00,42.0
Ahmedabad,14-02-2025 17:00:00,134.0
Ahmedabad,14-02-2025 17:00:00,114.0
Ahmedabad,14-02-2025 17:00:00,24.0
Ahmedabad,14-02-2025 17:00:00,229.0
Ahmedabad,14-02-2025 17:00:00,82.0
Faridabad,14-02-2025 17:00:00,108.0
Faridabad,14-02-2025 17:00:00,119.0
Faridabad,14-02-2025 17:00:00,6.0
Faridabad,14-02-2025 17:00:00,62.0
Gurugram,14-02-2025 17:00:00,10.0
Gurugram,14-02-2025 17:00:00,2.0
Gurugram,14-02-2025 17:00:00,38.0
Delhi,14-02-2025 17:00:00,116.0
Delhi,14-02-2025 17:00:00,16.0
Delhi,14-02-2025 17:00:00,109.0
Delhi,14-02-2025 17:00:00,92.0
Delhi,14-02-2025 17:00:00,26.0
Ahmedabad,14-02-2025 17:00:00,87.0
Ahmedabad,14-02-2025 17:00:00,28.0
Ahmedabad,14-02-2025 17:00:00,62.0
Ahmedabad,14-02-2025 17:00:00,108.0
Ahmedabad,14-02-2025 17:00:00,4.0
Ahmedabad,14-02-2025 17:00:00,35.0
Delhi,14-02-2025 17:00:00,98.0
Delhi,14-02-2025 17:00:00,147.0
Delhi,14-02-2025 17:00:00,72.0
Delhi,14-02-2025 17:00:00,79.0
Gandhinagar,14-02-2025 17:00:00,14.0
Gandhinagar,14-02-2025 17:00:00,24.0
Kalaburagi,14-02-2025 17:00:00,29.0
Kalaburagi,14-02-2025 17:00:00,64.0
Kalaburagi,14-02-2025 17:00:00,14.0
Kalaburagi,14-02-2025 17:00:00,2.0
Kalaburagi,14-02-2025 17:00:00,46.0
Kolar,14-02-2025 17:00:00,24.0
Kolar,14-02-2025 17:00:00,7.0
Ramanagara,14-02-2025 17:00:00,29.0
Shivamogga,14-02-2025 17:00:00,15.0
Shivamogga,14-02-2025 17:00:00,19.0
Tumakuru,14-02-2025 17:00:00,18.0
Vijayapura,14-02-2025 17:00:00,37.0
Vijayapura,14-02-2025 17:00:00,47.0
Vijayapura,14-02-2025 17:00:00,23.0
Chikkamagaluru,14-02-2025 17:00:00,42.0
Davanagere,14-02-2025 17:00:00,99.0
Davanagere,14-02-2025 17:00:00,19.0
Gadag,14-02-2025 17:00:00,14.0
Bengaluru,14-02-2025 17:00:00,63.0
Bengaluru,14-02-2025 17:00:00,169.0
Bengaluru,14-02-2025 17:00:00,35.0
Chamarajanagar,14-02-2025 17:00:00,50.0
Chamarajanagar,14-02-2025 17:00:00,2.0
Chamarajanagar,14-02-2025 17:00:00,33.0
Hassan,14-02-2025 17:00:00,106.0
Hubballi,14-02-2025 17:00:00,20.0
Bengaluru,14-02-2025 17:00:00,7.0
Bengaluru,14-02-2025 17:00:00,88.0
Bengaluru,14-02-2025 17:00:00,75.0
Bengaluru,14-02-2025 17:00:00,96.0
Bengaluru,14-02-2025 17:00:00,66.0
Bengaluru,14-02-2025 17:00:00,12.0
Bengaluru,14-02-2025 17:00:00,1.0
Bengaluru,14-02-2025 17:00:00,30.0
Bengaluru,14-02-2025 17:00:00,25.0
Bengaluru,14-02-2025 17:00:00,17.0
Bengaluru,14-02-2025 17:00:00,79.0
Bengaluru,14-02-2025 17:00:00,11.0
Bengaluru,14-02-2025 17:00:00,56.0
Bengaluru,14-02-2025 17:00:00,45.0
Mangalore,14-02-2025 17:00:00,3.0
Mangalore,14-02-2025 17:00:00,38.0
Mysuru,14-02-2025 17:00:00,42.0
Mysuru,14-02-2025 17:00:00,28.0
Mysuru,14-02-2025 17:00:00,58.0
Yadgir,14-02-2025 17:00:00,97.0
Yadgir,14-02-2025 17:00:00,16.0
Kannur,14-02-2025 17:00:00,53.0
Kannur,14-02-2025 17:00:00,16.0
Kannur,14-02-2025 17:00:00,1.0
Kannur,14-02-2025 17:00:00,3.0
Kollam,14-02-2025 17:00:00,15.0
Maihar,14-02-2025 17:00:00,11.0
Mandideep,14-02-2025 17:00:00,204.0
Mandideep,14-02-2025 17:00:00,7.0
Pithampur,14-02-2025 17:00:00,93.0
Pithampur,14-02-2025 17:00:00,22.0
Pithampur,14-02-2025 17:00:00,44.0
Ratlam,14-02-2025 17:00:00,17.0
Ratlam,14-02-2025 17:00:00,16.0
Gwalior,14-02-2025 17:00:00,88.0
Indore,14-02-2025 17:00:00,7.0
Indore,14-02-2025 17:00:00,2.0
Indore,14-02-2025 17:00:00,14.0
Indore,14-02-2025 17:00:00,11.0
Indore,14-02-2025 17:00:00,146.0
Indore,14-02-2025 17:00:00,3.0
Thiruvananthapuram,14-02-2025 17:00:00,5.0
Thiruvananthapuram,14-02-2025 17:00:00,38.0
Thiruvananthapuram,14-02-2025 17:00:00,37.0
Bhopal,14-02-2025 17:00:00,35.0
Bhopal,14-02-2025 17:00:00,35.0
Indore,14-02-2025 17:00:00,32.0
Indore,14-02-2025 17:00:00,29.0
Indore,14-02-2025 17:00:00,27.0
Indore,14-02-2025 17:00:00,28.0
Jabalpur,14-02-2025 17:00:00,32.0
Ujjain,14-02-2025 17:00:00,45.0
Ujjain,14-02-2025 17:00:00,5.0
Ujjain,14-02-2025 17:00:00,14.0
Ujjain,14-02-2025 17:00:00,74.0
Ahmednagar,14-02-2025 17:00:00,160.0
Bhopal,14-02-2025 17:00:00,8.0
Bhopal,14-02-2025 17:00:00,104.0
Damoh,14-02-2025 17:00:00,18.0
Dewas,14-02-2025 17:00:00,85.0
Dewas,14-02-2025 17:00:00,19.0
Gwalior,14-02-2025 17:00:00,22.0
Gwalior,14-02-2025 17:00:00,2.0
Gwalior,14-02-2025 17:00:00,46.0
Jabalpur,14-02-2025 17:00:00,12.0
Katni,14-02-2025 17:00:00,4.0
Mumbai,14-02-2025 17:00:00,12.0
Mumbai,14-02-2025 17:00:00,10.0
Mumbai,14-02-2025 17:00:00,37.0
Mumbai,14-02-2025 17:00:00,88.0
Mumbai,14-02-2025 17:00:00,1.0
Mumbai,14-02-2025 17:00:00,44.0
Mumbai,14-02-2025 17:00:00,15.0
Mumbai,14-02-2025 17:00:00,118.0
Mumbai,14-02-2025 17:00:00,144.0
Mumbai,14-02-2025 17:00:00,30.0
Aurangabad,14-02-2025 17:00:00,75.0
Aurangabad,14-02-2025 17:00:00,45.0
Aurangabad,14-02-2025 17:00:00,10.0
Aurangabad,14-02-2025 17:00:00,80.0
Aurangabad,14-02-2025 17:00:00,49.0
Badlapur,14-02-2025 17:00:00,70.0
Badlapur,14-02-2025 17:00:00,96.0
Latur,14-02-2025 17:00:00,20.0
Latur,14-02-2025 17:00:00,11.0
Mahad,14-02-2025 17:00:00,26.0
Malegaon,14-02-2025 17:00:00,85.0
Mira-Bhayandar,14-02-2025 17:00:00,120.0
Mira-Bhayandar,14-02-2025 17:00:00,41.0
Chandrapur,14-02-2025 17:00:00,37.0
Chandrapur,14-02-2025 17:00:00,74.0
Chandrapur,14-02-2025 17:00:00,19.0
Jalgaon,14-02-2025 17:00:00,15.0
Jalna,14-02-2025 17:00:00,20.0
Jalna,14-02-2025 17:00:00,3.0
Kalyan,14-02-2025 17:00:00,68.0
Kalyan,14-02-2025 17:00:00,16.0
Kalyan,14-02-2025 17:00:00,36.0
Kolhapur,14-02-2025 17:00:00,14.0
Kolhapur,14-02-2025 17:00:00,12.0
Belapur,14-02-2025 17:00:00,119.0
Belapur,14-02-2025 17:00:00,144.0
Belapur,14-02-2025 17:00:00,44.0
Bhiwandi,14-02-2025 17:00:00,128.0
Chandrapur,14-02-2025 17:00:00,2.0
Chandrapur,14-02-2025 17:00:00,20.0
Mumbai,14-02-2025 17:00:00,165.0
Mumbai,14-02-2025 17:00:00,131.0
Mumbai,14-02-2025 17:00:00,77.0
Mumbai,14-02-2025 17:00:00,17.0
Mumbai,14-02-2025 17:00:00,78.0
Akola,14-02-2025 17:00:00,27.0
Akola,14-02-2025 17:00:00,6.0
Amravati,14-02-2025 17:00:00,50.0
Amravati,14-02-2025 17:00:00,99.0
Mumbai,14-02-2025 17:00:00,18.0
Nashik,14-02-2025 17:00:00,103.0
Nashik,14-02-2025 17:00:00,29.0
Nashik,14-02-2025 17:00:00,42.0
Nashik,14-02-2025 17:00:00,33.0
Nashik,14-02-2025 17:00:00,81.0
Nashik,14-02-2025 17:00:00,5.0
Nashik,14-02-2025 17:00:00,127.0
Nashik,14-02-2025 17:00:00,22.0
Nashik,14-02-2025 17:00:00,36.0
Nashik,14-02-2025 17:00:00,25.0
Nashik,14-02-2025 17:00:00,21.0
Navi Mumbai,14-02-2025 17:00:00,34.0
Navi Mumbai,14-02-2025 17:00:00,127.0
Navi Mumbai,14-02-2025 17:00:00,26.0
Navi Mumbai,14-02-2025 17:00:00,5.0
Parbhani,14-02-2025 17:00:00,18.0
Nashik,14-02-2025 17:00:00,5.0
Navi Mumbai,14-02-2025 17:00:00,79.0
Navi Mumbai,14-02-2025 17:00:00,24.0
Navi Mumbai,14-02-2025 17:00:00,138.0
Navi Mumbai,14-02-2025 17:00:00,8.0
Mumbai,14-02-2025 17:00:00,41.0
Mumbai,14-02-2025 17:00:00,31.0
Mumbai,14-02-2025 17:00:00,56.0
Mumbai,14-02-2025 17:00:00,111.0
Mumbai,14-02-2025 17:00:00,34.0
Mumbai,14-02-2025 17:00:00,55.0
Mumbai,14-02-2025 17:00:00,104.0
Mumbai,14-02-2025 17:00:00,68.0
Mumbai,14-02-2025 17:00:00,9.0
Mumbai,14-02-2025 17:00:00,44.0
Mumbai,14-02-2025 17:00:00,4.0
Mumbai,14-02-2025 17:00:00,59.0
Mumbai,14-02-2025 17:00:00,25.0
Pimpri-Chinchwad,14-02-2025 17:00:00,109.0
Pimpri-Chinchwad,14-02-2025 17:00:00,161.0
Pimpri-Chinchwad,14-02-2025 17:00:00,34.0
Nagpur,14-02-2025 17:00:00,39.0
Nagpur,14-02-2025 17:00:00,42.0
Nanded,14-02-2025 17:00:00,56.0
Nagpur,14-02-2025 17:00:00,115.0
Pune,14-02-2025 17:00:00,65.0
Solapur,14-02-2025 17:00:00,105.0
Solapur,14-02-2025 17:00:00,60.0
Solapur,14-02-2025 17:00:00,9.0
Solapur,14-02-2025 17:00:00,27.0
Pune,14-02-2025 17:00:00,142.0
Pune,14-02-2025 17:00:00,153.0
Pune,14-02-2025 17:00:00,56.0
Pune,14-02-2025 17:00:00,45.0
Pune,14-02-2025 17:00:00,86.0
Pune,14-02-2025 17:00:00,38.0
Barbil,14-02-2025 17:00:00,8.0
Baripada,14-02-2025 17:00:00,98.0
Baripada,14-02-2025 17:00:00,24.0
Baripada,14-02-2025 17:00:00,39.0
Bhubaneswar,14-02-2025 17:00:00,168.0
Bhubaneswar,14-02-2025 17:00:00,166.0
Bileipada,14-02-2025 17:00:00,6.0
Bileipada,14-02-2025 17:00:00,26.0
Brajrajnagar,14-02-2025 17:00:00,17.0
Brajrajnagar,14-02-2025 17:00:00,63.0
Byasanagar,14-02-2025 17:00:00,148.0
Cuttack,14-02-2025 17:00:00,256.0
Nayagarh,14-02-2025 17:00:00,106.0
Nayagarh,14-02-2025 17:00:00,35.0
Rairangpur,14-02-2025 17:00:00,80.0
Rairangpur,14-02-2025 17:00:00,97.0
Aizawl,14-02-2025 17:00:00,2.0
Aizawl,14-02-2025 17:00:00,3.0
Kohima,14-02-2025 17:00:00,73.0
Kohima,14-02-2025 17:00:00,56.0
Balasore,14-02-2025 17:00:00,175.0
Virar,14-02-2025 17:00:00,88.0
Imphal,14-02-2025 17:00:00,8.0
Shillong,14-02-2025 17:00:00,7.0
Pune,14-02-2025 17:00:00,32.0
Pune,14-02-2025 17:00:00,78.0
Pune,14-02-2025 17:00:00,19.0
Pune,14-02-2025 17:00:00,22.0
Pune,14-02-2025 17:00:00,50.0
Thane,14-02-2025 17:00:00,102.0
Thane,14-02-2025 17:00:00,69.0
Thane,14-02-2025 17:00:00,34.0
Bhiwadi,14-02-2025 17:00:00,40.0
Bhiwadi,14-02-2025 17:00:00,45.0
Bhiwadi,14-02-2025 17:00:00,20.0
Bundi,14-02-2025 17:00:00,14.0
Bundi,14-02-2025 17:00:00,26.0
Chittorgarh,14-02-2025 17:00:00,92.0
Rourkela,14-02-2025 17:00:00,122.0
Rourkela,14-02-2025 17:00:00,6.0
Rourkela,14-02-2025 17:00:00,109.0
Talcher,14-02-2025 17:00:00,4.0
Dungarpur,14-02-2025 17:00:00,81.0
Hanumangarh,14-02-2025 17:00:00,42.0
Jaipur,14-02-2025 17:00:00,48.0
Jaipur,14-02-2025 17:00:00,36.0
Jaipur,14-02-2025 17:00:00,70.0
Baran,14-02-2025 17:00:00,36.0
Bharatpur,14-02-2025 17:00:00,5.0
Bharatpur,14-02-2025 17:00:00,89.0
Bhilwara,14-02-2025 17:00:00,105.0
Bhilwara,14-02-2025 17:00:00,18.0
Chittorgarh,14-02-2025 17:00:00,134.0
Chittorgarh,14-02-2025 17:00:00,31.0
Chittorgarh,14-02-2025 17:00:00,68.0
Churu,14-02-2025 17:00:00,134.0
Churu,14-02-2025 17:00:00,163.0
Alwar,14-02-2025 17:00:00,44.0
Alwar,14-02-2025 17:00:00,48.0
Banswara,14-02-2025 17:00:00,24.0
Baran,14-02-2025 17:00:00,14.0
Tensa,14-02-2025 17:00:00,5.0
Puducherry,14-02-2025 17:00:00,46.0
Puducherry,14-02-2025 17:00:00,8.0
Patiala,14-02-2025 17:00:00,61.0
Patiala,14-02-2025 17:00:00,19.0
Patiala,14-02-2025 17:00:00,39.0
Khanna,14-02-2025 17:00:00,12.0
Ludhiana,14-02-2025 17:00:00,3.0
Ludhiana,14-02-2025 17:00:00,14.0
Jodhpur,14-02-2025 17:00:00,88.0
Karauli,14-02-2025 17:00:00,71.0
Karauli,14-02-2025 17:00:00,95.0
Kota,14-02-2025 17:00:00,83.0
Kota,14-02-2025 17:00:00,71.0
Kota,14-02-2025 17:00:00,109.0
Kota,14-02-2025 17:00:00,76.0
Kota,14-02-2025 17:00:00,7.0
Kota,14-02-2025 17:00:00,94.0
Kota,14-02-2025 17:00:00,17.0
Nagaur,14-02-2025 17:00:00,100.0
Nagaur,14-02-2025 17:00:00,10.0
Pali,14-02-2025 17:00:00,49.0
Jodhpur,14-02-2025 17:00:00,3.0
Jodhpur,14-02-2025 17:00:00,5.0
Jodhpur,14-02-2025 17:00:00,51.0
Jodhpur,14-02-2025 17:00:00,6.0
Jodhpur,14-02-2025 17:00:00,5.0
Jodhpur,14-02-2025 17:00:00,64.0
Jodhpur,14-02-2025 17:00:00,37.0
Jaipur,14-02-2025 17:00:00,3.0
Jaipur,14-02-2025 17:00:00,32.0
Jaipur,14-02-2025 17:00:00,18.0
Jaipur,14-02-2025 17:00:00,120.0
Jaipur,14-02-2025 17:00:00,7.0
Chengalpattu,14-02-2025 17:00:00,74.0
Chengalpattu,14-02-2025 17:00:00,14.0
Chennai,14-02-2025 17:00:00,4.0
Chennai,14-02-2025 17:00:00,15.0
Tonk,14-02-2025 17:00:00,22.0
Udaipur,14-02-2025 17:00:00,9.0
Ariyalur,14-02-2025 17:00:00,38.0
Jaisalmer,14-02-2025 17:00:00,115.0
Jaisalmer,14-02-2025 17:00:00,49.0
Jaisalmer,14-02-2025 17:00:00,74.0
Sikar,14-02-2025 17:00:00,130.0
Sri Ganganagar,14-02-2025 17:00:00,144.0
Jhalawar,14-02-2025 17:00:00,6.0
Jhunjhunu,14-02-2025 17:00:00,91.0
Ooty,14-02-2025 17:00:00,23.0
Palkalaiperur,14-02-2025 17:00:00,8.0
Perundurai,14-02-2025 17:00:00,45.0
Perundurai,14-02-2025 17:00:00,2.0
Perundurai,14-02-2025 17:00:00,18.0
Perundurai,14-02-2025 17:00:00,11.0
Pudukottai,14-02-2025 17:00:00,16.0
Pudukottai,14-02-2025 17:00:00,3.0
Pudukottai,14-02-2025 17:00:00,13.0
Ramanathapuram,14-02-2025 17:00:00,3.0
Ramanathapuram,14-02-2025 17:00:00,1.0
Ramanathapuram,14-02-2025 17:00:00,15.0
Thoothukudi,14-02-2025 17:00:00,10.0
Tirunelveli,14-02-2025 17:00:00,31.0
Tirunelveli,14-02-2025 17:00:00,21.0
Tirunelveli,14-02-2025 17:00:00,41.0
Vellore,14-02-2025 17:00:00,21.0
Virudhunagar,14-02-2025 17:00:00,68.0
Virudhunagar,14-02-2025 17:00:00,18.0
Hyderabad,14-02-2025 17:00:00,65.0
Hyderabad,14-02-2025 17:00:00,119.0
Cuddalore,14-02-2025 17:00:00,22.0
Dindigul,14-02-2025 17:00:00,120.0
Dindigul,14-02-2025 17:00:00,1.0
Dindigul,14-02-2025 17:00:00,4.0
Gummidipoondi,14-02-2025 17:00:00,93.0
Gummidipoondi,14-02-2025 17:00:00,33.0
Hyderabad,14-02-2025 17:00:00,51.0
Hyderabad,14-02-2025 17:00:00,23.0
Hyderabad,14-02-2025 17:00:00,31.0
Hyderabad,14-02-2025 17:00:00,4.0
Hyderabad,14-02-2025 17:00:00,52.0
Hyderabad,14-02-2025 17:00:00,145.0
Hyderabad,14-02-2025 17:00:00,65.0
Chennai,14-02-2025 17:00:00,3.0
Chennai,14-02-2025 17:00:00,39.0
Chennai,14-02-2025 17:00:00,16.0
Chennai,14-02-2025 17:00:00,28.0
Chennai,14-02-2025 17:00:00,14.0
Coimbatore,14-02-2025 17:00:00,13.0
Coimbatore,14-02-2025 17:00:00,5.0
Ranipet,14-02-2025 17:00:00,85.0
Ranipet,14-02-2025 17:00:00,86.0
Salem,14-02-2025 17:00:00,66.0
Salem,14-02-2025 17:00:00,3.0
Thanjavur,14-02-2025 17:00:00,7.0
Karur,14-02-2025 17:00:00,69.0
Madurai,14-02-2025 17:00:00,64.0
Nagapattinam,14-02-2025 17:00:00,17.0
Chennai,14-02-2025 17:00:00,24.0
Chennai,14-02-2025 17:00:00,5.0
Chennai,14-02-2025 17:00:00,114.0
Chennai,14-02-2025 17:00:00,4.0
Hyderabad,14-02-2025 17:00:00,31.0
Hyderabad,14-02-2025 17:00:00,26.0
Ghaziabad,14-02-2025 17:00:00,63.0
Gorakhpur,14-02-2025 17:00:00,45.0
Gorakhpur,14-02-2025 17:00:00,120.0
Gorakhpur,14-02-2025 17:00:00,8.0
Greater Noida,14-02-2025 17:00:00,10.0
Greater Noida,14-02-2025 17:00:00,17.0
Greater Noida,14-02-2025 17:00:00,40.0
Agra,14-02-2025 17:00:00,2.0
Agra,14-02-2025 17:00:00,35.0
Agra,14-02-2025 17:00:00,53.0
Agra,14-02-2025 17:00:00,56.0
Agra,14-02-2025 17:00:00,12.0
Baghpat,14-02-2025 17:00:00,125.0
Baghpat,14-02-2025 17:00:00,29.0
Bareilly,14-02-2025 17:00:00,16.0
Bareilly,14-02-2025 17:00:00,24.0
Bareilly,14-02-2025 17:00:00,16.0
Bulandshahr,14-02-2025 17:00:00,46.0
Bulandshahr,14-02-2025 17:00:00,128.0
Bulandshahr,14-02-2025 17:00:00,19.0
Firozabad,14-02-2025 17:00:00,22.0
Firozabad,14-02-2025 17:00:00,19.0
Firozabad,14-02-2025 17:00:00,2.0
Ghaziabad,14-02-2025 17:00:00,6.0
Ghaziabad,14-02-2025 17:00:00,34.0
Ghaziabad,14-02-2025 17:00:00,71.0
Greater Noida,14-02-2025 17:00:00,6.0
Hapur,14-02-2025 17:00:00,12.0
Jhansi,14-02-2025 17:00:00,30.0
Agra,14-02-2025 17:00:00,18.0
Agra,14-02-2025 17:00:00,14.0
Agra,14-02-2025 17:00:00,25.0
Agra,14-02-2025 17:00:00,42.0
Kanpur,14-02-2025 17:00:00,43.0
Kanpur,14-02-2025 17:00:00,34.0
Lucknow,14-02-2025 17:00:00,97.0
Hyderabad,14-02-2025 17:00:00,39.0
Hyderabad,14-02-2025 17:00:00,30.0
Agartala,14-02-2025 17:00:00,45.0
Agartala,14-02-2025 17:00:00,21.0
Hyderabad,14-02-2025 17:00:00,28.0
Hyderabad,14-02-2025 17:00:00,26.0
Hyderabad,14-02-2025 17:00:00,16.0
Hyderabad,14-02-2025 17:00:00,4.0
Varanasi,14-02-2025 17:00:00,12.0
Varanasi,14-02-2025 17:00:00,28.0
Varanasi,14-02-2025 17:00:00,1.0
Varanasi,14-02-2025 17:00:00,32.0
Varanasi,14-02-2025 17:00:00,19.0
Varanasi,14-02-2025 17:00:00,2.0
Varanasi,14-02-2025 17:00:00,3.0
Varanasi,14-02-2025 17:00:00,13.0
Varanasi,14-02-2025 17:00:00,55.0
Varanasi,14-02-2025 17:00:00,9.0
